family,model,expected_seeds,completed_seeds,pending_seeds
family1_no_clr_microbiome_raw,pysr,900,900,0
family1_no_clr_microbiome_raw,random_forest,900,900,0
family1_no_clr_microbiome_raw,tabiclv2,900,900,0
family1_no_clr_microbiome_raw,tabpfn,900,900,0
family1_no_clr_microbiome_raw,xgboost,900,900,0
family2_full_microbiome_clr_raw_env,pysr,900,900,0
family2_full_microbiome_clr_raw_env,random_forest,900,900,0
family2_full_microbiome_clr_raw_env,tabiclv2,900,893,7
family2_full_microbiome_clr_raw_env,tabpfn,900,900,0
family2_full_microbiome_clr_raw_env,xgboost,900,900,0
family3_marta_subset_clr_raw_env,pysr,900,900,0
family3_marta_subset_clr_raw_env,random_forest,900,900,0
family3_marta_subset_clr_raw_env,tabiclv2,900,900,0
family3_marta_subset_clr_raw_env,tabpfn,900,900,0
family3_marta_subset_clr_raw_env,xgboost,900,900,0
