artifact,family,task,model,metric,n_seeds,status
performance,family1_no_clr_microbiome_raw,classification,pysr,AUC,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,pysr,F1,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,pysr,balanced_accuracy,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,random_forest,AUC,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,random_forest,F1,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,random_forest,balanced_accuracy,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,tabiclv2,AUC,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,tabiclv2,F1,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,tabiclv2,balanced_accuracy,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,tabpfn,AUC,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,tabpfn,F1,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,tabpfn,balanced_accuracy,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,xgboost,AUC,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,xgboost,F1,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,classification,xgboost,balanced_accuracy,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,pysr,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,pysr,RMSE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,random_forest,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,random_forest,RMSE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,tabiclv2,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,tabiclv2,RMSE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,tabpfn,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,tabpfn,RMSE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,xgboost,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_18_positive,xgboost,RMSE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,pysr,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,pysr,RMSE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,random_forest,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,random_forest,RMSE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,tabiclv2,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,tabiclv2,RMSE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,tabpfn,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,tabpfn,RMSE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,xgboost,MAE,100,complete_100_seeds
performance,family1_no_clr_microbiome_raw,regression_50_all_samples,xgboost,RMSE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,pysr,AUC,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,pysr,F1,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,pysr,balanced_accuracy,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,random_forest,AUC,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,random_forest,F1,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,random_forest,balanced_accuracy,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,tabiclv2,AUC,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,tabiclv2,F1,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,tabiclv2,balanced_accuracy,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,tabpfn,AUC,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,tabpfn,F1,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,tabpfn,balanced_accuracy,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,xgboost,AUC,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,xgboost,F1,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,classification,xgboost,balanced_accuracy,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,pysr,MAE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,pysr,RMSE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,random_forest,MAE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,random_forest,RMSE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,tabiclv2,MAE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,tabiclv2,RMSE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,tabpfn,MAE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,tabpfn,RMSE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,xgboost,MAE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_18_positive,xgboost,RMSE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_50_all_samples,pysr,MAE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_50_all_samples,pysr,RMSE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_50_all_samples,random_forest,MAE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_50_all_samples,random_forest,RMSE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_50_all_samples,tabiclv2,MAE,100,complete_100_seeds
performance,family2_full_microbiome_clr_raw_env,regression_50_all_samples,tabiclv2,RMSE,100,complete_100_seeds
