family,family_label,task,task_label,scenario,scenario_label,model,model_label,seed,metric,value
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,123,AUC,0.5200396825396825
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,124,AUC,0.4781746031746031
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,125,AUC,0.5126984126984128
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,126,AUC,0.4857142857142857
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,127,AUC,0.4950396825396825
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,128,AUC,0.4418650793650794
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,129,AUC,0.4781746031746032
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,130,AUC,0.578968253968254
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,131,AUC,0.4323412698412697
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,132,AUC,0.4444444444444444
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,133,AUC,0.5375
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,134,AUC,0.4650793650793651
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,135,AUC,0.5775793650793651
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,136,AUC,0.4607142857142857
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,137,AUC,0.4716269841269841
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,138,AUC,0.5658730158730159
family1_no_clr_microbiome_raw,Family 1: raw microbiome + raw environment,classification,Classification,C_environment_microbiome,C,pysr,PySR,139,AUC,0.5464285714285713
