family,family_label,task,task_label,scenario,scenario_label,model,model_label,seed,metric,value
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,123,AUC,0.5015873015873016
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,124,AUC,0.5432539682539683
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,125,AUC,0.4912698412698414
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,126,AUC,0.4452380952380953
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,127,AUC,0.5811507936507937
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,128,AUC,0.4531746031746032
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,129,AUC,0.5123015873015875
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,130,AUC,0.5311507936507937
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,131,AUC,0.479563492063492
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,132,AUC,0.4952380952380952
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,133,AUC,0.4742063492063493
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,134,AUC,0.4970238095238094
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,135,AUC,0.4902777777777778
