family,preprocessing,task,scenario,model,feature,mean_relative_frequency,n_seeds_total,n_seeds_with_feature,status
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B101_Unclassified_Genus10,0.0033333333333333,100,5,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B102_TM7a,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B105_Clostridium_sensu_stricto_1,0.0153333333333333,100,22,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B106_Unclassified_Genus11,0.0026666666666666,100,4,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B108_Oligoflexus,0.0033333333333333,100,5,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B109_Unclassified_Genus12,0.0086666666666666,100,11,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B10_Sphingomonas,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B111_Peredibacter,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B112_Erythrobacter,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B115_Bacillus,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B120_Mesorhizobium,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B131_Limnobacter,0.004,100,6,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B140_Hymenobacter,0.0073333333333333,100,11,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B144_Seohaeicola,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B146_Gramella,0.0033333333333333,100,5,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B152_Rhizorhapis,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B155_Thermoactinomyces,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B156_Pseudorhodobacter,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B162_Paraglaciecola,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B163_OM27_clade,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B165_Stenotrophomonas,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B170_Ferruginibacter,0.0146666666666666,100,19,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B177_Ensifer,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B182_Persicitalea,0.0473809523809523,100,52,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B189_Candidatus_Symbiobacter,0.002,100,3,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B18_Massilia,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B193_Unclassified_Genus30,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B197_Leisingera,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B19_Actinomyces,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B1_Streptococcus,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B200_Blastococcus,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B201_Unclassified_Genus31,0.0013333333333333,100,2,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B20_Rhodococcus,0.0073333333333333,100,11,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B211_Unclassified_Genus34,0.0139999999999999,100,20,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B215_Unclassified_Genus36,0.012,100,17,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B218_Unclassified_Genus38,0.0006666666666666,100,1,complete_100_seeds
family1_no_clr_microbiome_raw,Without CLR,classification,C_environment_microbiome,pysr,B219_Subsaxibacter,0.0066666666666666,100,10,complete_100_seeds
