model,task_type,predictor_type,training_scheme,family,scenario,config_name,config_label,replicate,variable,variable_original,importance_value,importance_mean,importance_median,importance_std,n_replicates_present,n_seeds_using_feature,frequency_present,source
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,slope_pct,slope_pct,0.5926666666666667,0.5926666666666667,0.6,0.15009013378760644,100,100,1.0,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,C3_sed,C3_sed,0.4545454545454545,0.4545454545454545,0.4666666666666667,0.18427122777161048,100,99,0.99,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,C2_fresh,C2_fresh,0.2244131455399061,0.2244131455399061,0.2,0.11449790272964848,100,71,0.71,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,T_PC1,T_PC1,0.22411347517730493,0.22411347517730493,0.2,0.10791875515275004,100,94,0.94,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,LS_PC2,LS_PC2,0.1753968253968254,0.1753968253968254,0.2,0.08199635078879211,100,84,0.84,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,HBV,HBV,0.17028112449799196,0.17028112449799196,0.13333333333333333,0.09891169971882753,100,83,0.83,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,flow_acc_log,flow_acc_log,0.16908212560386476,0.16908212560386476,0.13333333333333333,0.09187922602965004,100,69,0.69,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,dist_sea,dist_sea,0.15583333333333332,0.15583333333333332,0.13333333333333333,0.10390071534782153,100,80,0.8,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,P_PC2,P_PC2,0.15384615384615385,0.15384615384615385,0.13333333333333333,0.08274350032774085,100,78,0.78,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,asp_cos,asp_cos,0.15,0.15,0.13333333333333333,0.09248900944150004,100,84,0.84,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,SO2_mean,SO2_mean,0.146031746031746,0.146031746031746,0.13333333333333333,0.07929541233132391,100,63,0.63,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,built,built,0.134375,0.134375,0.13333333333333333,0.06976118243662383,100,64,0.64,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,NTL,NTL,0.12843137254901962,0.12843137254901962,0.13333333333333333,0.07753770941187837,100,68,0.68,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,curv_prof,curv_prof,0.12314814814814815,0.12314814814814815,0.13333333333333333,0.07393244153966039,100,72,0.72,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,curv,curv,0.11729957805907175,0.11729957805907175,0.06666666666666668,0.06599247982143175,100,79,0.79,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,HPD,HPD,0.11458333333333333,0.11458333333333333,0.06666666666666668,0.0633778735055712,100,64,0.64,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,curv_plan,curv_plan,0.1087719298245614,0.1087719298245614,0.06666666666666668,0.09739958758700296,100,19,0.19,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,C1_salt,C1_salt,0.10808080808080807,0.10808080808080807,0.06666666666666668,0.06161934596329141,100,66,0.66,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,P_PC1,P_PC1,0.1074074074074074,0.1074074074074074,0.06666666666666668,0.0639924873298505,100,54,0.54,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,flow_dir_cos,flow_dir_cos,0.1037037037037037,0.1037037037037037,0.06666666666666668,0.06656076244306222,100,36,0.36,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,flow_len,flow_len,0.10246913580246914,0.10246913580246914,0.06666666666666668,0.05450438093362908,100,54,0.54,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,trees,trees,0.10074074074074074,0.10074074074074074,0.06666666666666668,0.06454537550776843,100,45,0.45,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,NDFI,NDFI,0.1,0.1,0.06666666666666668,0.05033997477580665,100,58,0.58,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,dist_urban,dist_urban,0.09848484848484848,0.09848484848484848,0.06666666666666668,0.061821843498623026,100,44,0.44,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,crops,crops,0.09803921568627452,0.09803921568627452,0.06666666666666668,0.04872223526430542,100,51,0.51,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,HMI,HMI,0.09753086419753086,0.09753086419753086,0.06666666666666668,0.0461752435562398,100,54,0.54,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,NO2_mean,NO2_mean,0.09722222222222222,0.09722222222222222,0.06666666666666668,0.05987904803861726,100,48,0.48,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,pH_0_5cm,pH_0_5cm,0.09649122807017543,0.09649122807017543,0.06666666666666668,0.057364266578879615,100,38,0.38,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,wind_speed_10m,wind_speed_10m,0.09523809523809523,0.09523809523809523,0.06666666666666668,0.05431862975765159,100,35,0.35,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,AER_AI_mean,AER_AI_mean,0.09523809523809523,0.09523809523809523,0.06666666666666668,0.061339160830431484,100,28,0.28,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,HCHO_mean,HCHO_mean,0.09491525423728812,0.09491525423728812,0.06666666666666668,0.049832500789583366,100,59,0.59,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,T_PC2,T_PC2,0.09466666666666666,0.09466666666666666,0.06666666666666668,0.04278300465755467,100,50,0.5,v2_historical_jsonl_seed_reaggregated
pysr,classification,Environment,without_clr,family1_no_clr_microbiome_raw,A_environment,classification | A_environment | without_clr,"Environment
Without CLR",,LS_PC1,LS_PC1,0.09333333333333334,0.09333333333333334,0.06666666666666668,0.05005047956863656,100,45,0.45,v2_historical_jsonl_seed_reaggregated
