family,preprocessing,task,model,scenario,feature,mean_abs_shap,n_seeds_total,n_seeds_with_feature,status,source
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,curv_prof,0.0166917259624752,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B8,0.01233848061588,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B26,0.0205140315153746,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B28,0.0092590000786878,100,96,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B32,0.0014172132157922,100,88,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B46,0.0181799730119348,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B57,0.0011152307034645,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B88,0.0031263786045769,100,47,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B102,0.0035412012805352,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B105,0.0088484820694364,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B182,0.0038626446741882,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B215,0.0093282234583142,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
family1_no_clr_microbiome_raw,Without CLR,classification,random_forest,C_environment_microbiome,B234,0.0100660730520669,100,100,complete_100_seeds,See provenance/coverage_manifest.csv
