family,family_label,task,task_label,scenario,scenario_label,model,model_label,feature,mean_abs_shap,sd_abs_shap,median_abs_shap,q25_abs_shap,q75_abs_shap,n_seeds,sem_abs_shap
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,C2_fresh,0.0006499129978191686,2.9147104285877772e-05,0.0006446318617514973,0.0006314798573765694,0.0006670657586767027,100,2.9147104285877773e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,built,0.0004202924528845559,2.759274973745401e-05,0.000419512761964036,0.00040233636921915416,0.00044089277834274314,100,2.7592749737454014e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,NTL,0.00029373677701015116,2.650874658747636e-05,0.0002939148144756583,0.0002758893412366986,0.00031301491377933954,100,2.6508746587476363e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,C1_salt,0.00028951537471664216,3.5278887563435315e-05,0.00029326979288955764,0.000270725838682953,0.00030833761641320227,100,3.527888756343532e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,AER_AI_mean,0.0002765778766198612,3.201554138084739e-05,0.0002786939314758779,0.0002603825379144205,0.0002946755870166563,100,3.2015541380847387e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,C3_sed,0.00025352987548688655,5.733074843713927e-05,0.0002452876889538695,0.0002069542335743389,0.00028567986974196936,100,5.733074843713927e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,NDFI,0.000128943476137204,3.527757699515916e-05,0.00012978095907176614,0.00011037769533663872,0.00015389639682940692,100,3.5277576995159166e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,dist_urban,0.00011294904874385552,2.5411279381041767e-05,0.00011010858618581943,9.592617549694028e-05,0.0001277093338231522,100,2.5411279381041758e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,HFI,8.510280478456919e-05,2.706459404678819e-05,8.768729593100564e-05,6.740737797342021e-05,0.00010275390977954324,100,2.706459404678819e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,HMI,7.853925512223097e-05,2.7043781901249146e-05,7.482198085432275e-05,5.8787163020914975e-05,9.662195297710009e-05,100,2.7043781901249147e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,P_PC2,6.827090729366596e-05,2.333730529470463e-05,6.451198244950479e-05,5.045948322563128e-05,8.397193659289703e-05,100,2.333730529470463e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,dist_sea,6.356737717745478e-05,3.234179477401711e-05,6.231426053332698e-05,3.892505784122572e-05,8.411345857040134e-05,100,3.2341794774017103e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,T_PC2,5.0113570021435557e-05,2.3861114841712384e-05,5.001003714566288e-05,3.348210086809708e-05,6.492635174490537e-05,100,2.3861114841712384e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,flow_acc_log,4.8071501921849766e-05,2.6942888914173955e-05,4.498242179487273e-05,2.5732841175175274e-05,6.361606345679187e-05,100,2.6942888914173956e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,HCHO_mean,4.727271555507535e-05,2.1533567637505483e-05,4.403174224047434e-05,3.0858863994900914e-05,5.651396443715752e-05,100,2.1533567637505482e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,slope_pct,4.504910101479367e-05,2.252119804184273e-05,4.3394941602726865e-05,2.7414953527306242e-05,5.772330226507926e-05,100,2.2521198041842727e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,SO2_mean,3.708751713841423e-05,2.8500428180435083e-05,2.6899596481611568e-05,1.5243507718588364e-05,4.90219558073899e-05,100,2.850042818043508e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,T_PC1,3.59156054393517e-05,1.804569245820017e-05,3.471404026143115e-05,2.143201898106528e-05,4.891614361527802e-05,100,1.8045692458200168e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,LS_PC1,3.3487856058118076e-05,1.8465931451990605e-05,3.3723851362943525e-05,2.0316286209327244e-05,4.420660867864794e-05,100,1.8465931451990604e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,wind_speed_10m,3.238043929344168e-05,1.9355953723844013e-05,3.2564365623899824e-05,1.9072055930270767e-05,4.0456736770457036e-05,100,1.935595372384401e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,trees,2.504893153469001e-05,1.9399739561983335e-05,2.0287592184207765e-05,9.650738979862973e-06,3.564424365614825e-05,100,1.9399739561983336e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,flow_dir_cos,2.355688814003967e-05,8.316084593491273e-06,2.1347209122941665e-05,1.9248039146237507e-05,2.507815809130556e-05,100,8.31608459349127e-07
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,asp_cos,2.276769853494778e-05,9.055350789293304e-06,2.2108361658142625e-05,1.5897578324881782e-05,2.8067477799392157e-05,100,9.055350789293305e-07
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,flow_len,1.7891630176925815e-05,1.5083972373761997e-05,1.3490810867216686e-05,5.88223319502514e-06,2.4321523552757222e-05,100,1.5083972373761998e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,HPD,1.223817319992428e-05,5.040767159506599e-06,1.1143281742347222e-05,9.731258847580555e-06,1.2551706002104166e-05,100,5.040767159506599e-07
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,HBV,1.1197041421980576e-05,1.1042708483763136e-05,9.009225615024956e-06,0.0,1.6025791568959254e-05,100,1.1042708483763135e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,pH_0_5cm,1.0151769256482114e-05,7.239405678822373e-06,8.36551055958611e-06,7.172846816016667e-06,1.0546971113472543e-05,100,7.239405678822374e-07
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,LS_PC2,1.0070918754630477e-05,1.4231047634182807e-05,5.774451423941667e-06,0.0,1.3941806401988363e-05,100,1.423104763418281e-06
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,dist_river_m,1.0017048827777133e-05,4.4655001370330265e-06,8.979968490244446e-06,7.6894612025e-06,1.0462458217898613e-05,100,4.4655001370330276e-07
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,regression_18_positive,Regresion 18 positivas,A_environment,A,tabpfn,TFN/TabPFN,NO2_mean,9.49930480197594e-06,6.984053147137303e-06,8.893329129066667e-06,6.4970141907861125e-06,1.1305812249123615e-05,100,6.984053147137305e-07
